residence_time_ms,phi,h2_fraction,inlet_temperature_k,pressure_atm,reactor_pressure_atm,outlet_temperature_k,temperature_rise_k,x_ch4,x_h2,x_o2,x_co,x_co2,x_h2o,x_no,ch4_conversion_percent,h2_conversion_percent,status,error_message
0.5,1.0,0.2,1000.0,10.0,9.999999999999853,2643.264735737892,1643.264735737892,2.0070859669135522e-05,0.00837323076113959,0.011036210614030246,0.020522722406465105,0.06675366033787876,0.18277751967808933,0.002248364882034361,99.97701554891918,61.645068324834796,stable,
1.0,1.0,0.2,1000.0,10.0,9.999999999999966,2652.138743342046,1652.138743342046,1.0634835882864783e-05,0.008042253954935867,0.010134176476969478,0.01976434303669574,0.06760322049106142,0.1835371290028587,0.0030849684470406246,99.98783113693612,63.190748524764416,stable,
2.0,1.0,0.2,1000.0,10.0,9.999999999999975,2656.192036402475,1656.192036402475,5.543000247470152e-06,0.007879818200116519,0.009490972647852522,0.01937451925709877,0.06804333516760548,0.18396406825131986,0.003922862025929659,99.99366022818575,63.950029156615784,stable,
5.0,1.0,0.2,1000.0,10.0,10.000000000000005,2658.0232485968513,1658.0232485968513,2.2952474478289623e-06,0.0077955003203642,0.008960510886561869,0.0191565722294323,0.06829323031295105,0.1842409448972925,0.00477787169687877,99.9973755405813,64.34550138185836,stable,
10.0,1.0,0.2,1000.0,10.0,9.999999999999996,2658.405053189764,1658.4050531897642,1.1644704230051123e-06,0.007773058307692053,0.008739628215898217,0.01909233833872368,0.06836840742984672,0.18433746596674794,0.005175830840021257,99.99866862851312,64.45138324752999,stable,
20.0,1.0,0.2,1000.0,10.0,9.999999999999998,2658.5269658877833,1658.5269658877833,5.869953866515892e-07,0.00776363086416875,0.00861709492721268,0.019063026610088053,0.06840323876442712,0.18438660695057035,0.005406602880890542,99.99932890218061,64.49610431727297,stable,
50.0,1.0,0.2,1000.0,10.0,10.000000000000034,2658.5726144565365,1658.5726144565365,2.3602662149769777e-07,0.007758703487691024,0.008538937684245837,0.019046598671575442,0.06842299159915184,0.1844163833319268,0.00555739407752539,99.99973016367387,64.51959475889903,stable,
0.001,1.0,0.4,1000.0,10.0,10.000000000000133,1000.000099396665,9.939666495029087e-05,0.07828810013274473,0.052192066736975525,0.18267223362422536,9.481195379861487e-19,2.0095062358140625e-20,8.805519641229758e-12,5.562505717705624e-25,1.0337550815364693e-07,1.3822299971266716e-07,extinguished,
0.002,1.0,0.4,1000.0,10.0,10.000000000000096,1000.0000989543283,9.895432833673112e-05,0.07828810006343905,0.05219206665758422,0.18267223341496505,6.5306767710346706e-18,1.0216846920337101e-19,2.109489167827932e-11,1.4657414790131207e-24,1.9958756869442595e-07,2.98022362343886e-07,extinguished,
0.005,1.0,0.4,1000.0,10.0,10.000000000165624,2331.3228731711297,1331.3228731711297,0.0009460410437796914,0.021512617715435493,0.030707187839787622,0.039723208146574845,0.03558104240327888,0.17086509263107885,0.00015666800727078982,98.77180767699886,58.10705238507199,stable,
0.01,1.0,0.4,1000.0,10.0,9.999999999911203,2416.572599392806,1416.5725993928058,0.0004648997136803896,0.01852547853020391,0.02467402716763303,0.03444216310223983,0.04211464651417351,0.17673573025198078,0.00025683890753317557,99.3997061849685,64.11893838089443,stable,
0.02,1.0,0.4,1000.0,10.0,10.000000000000002,2488.4058535448285,1488.4058535448285,0.0002521805799274122,0.01600003997499646,0.02054969308284922,0.03026025769683646,0.047077787874630704,0.18187971421244464,0.0003944479689586181,99.67602894227247,69.16763053756287,stable,
0.05,1.0,0.4,1000.0,10.0,9.999999999999774,2564.7831609438404,1564.7831609438404,0.00011911980675381306,0.013193308199857737,0.01651391785185457,0.025750959661889034,0.05228413198214261,0.18758817763163096,0.000672989154600628,99.84783709520126,74.72042449148073,stable,
0.1,1.0,0.4,1000.0,10.0,10.000000000000261,2607.567282987298,1607.5672829872979,6.777456315565705e-05,0.011560602853013907,0.014209352633817939,0.0230619756812325,0.05533223368041983,0.1908811437802992,0.0010021968822066481,99.91370837117803,77.92129073426825,stable,
0.2,1.0,0.4,1000.0,10.0,9.99999999999919,2637.45328521852,1637.4532852185198,3.7835692761321486e-05,0.010392414078310423,0.012450778067648693,0.021061912359408838,0.05757851613342468,0.19324009987495466,0.001490685726722941,99.95193990251533,80.19883882441499,stable,
0.5,1.0,0.4,1000.0,10.0,9.999999999999986,2660.067905504642,1660.067905504642,1.6849749414626442e-05,0.009482838968138459,0.010807599199149712,0.01943543609591929,0.059397734344885676,0.19513246319976024,0.0024424887256811346,99.97863699216028,81.96572914223349,stable,
1.0,1.0,0.4,1000.0,10.0,9.999999999999973,2668.1059755760994,1668.1059755760994,8.913696261315878e-06,0.00914368289263017,0.009948341661810996,0.018800150362410752,0.060110368110400346,0.19590466340505924,0.003322822725499945,99.98870724543787,82.6238133418558,stable,
2.0,1.0,0.4,1000.0,10.0,10.000000000000023,2671.6926595153577,1671.6926595153577,4.637580446487952e-06,0.008981222207847967,0.009343386846720389,0.018480500028415364,0.06047228931368698,0.19633181217410203,0.004161311661175982,99.99412703777199,82.93947262050152,stable,
5.0,1.0,0.4,1000.0,10.0,9.999999999999936,2673.316086267205,1673.3160862672048,1.9156997601608254e-06,0.008897739698451396,0.008857630207151166,0.01830375593716351,0.06067576652484064,0.19660503867406298,0.0049704042305196905,99.99757459553467,83.10229657736211,stable,
10.0,1.0,0.4,1000.0,10.0,10.000000000000048,2673.67622502787,1673.6762250278698,9.705481103794848e-07,0.008875183556487132,0.008660843416363872,0.018251410544221174,0.06073726227196153,0.19669934937977068,0.005330868530558947,99.99877132416484,83.14654865860629,stable,
20.0,1.0,0.4,1000.0,10.0,9.99999999999994,2673.80519695047,1673.80519695047,4.887978904393793e-07,0.008865454061194442,0.0085533903729121,0.018227251251825467,0.060766040041563066,0.1967471421666763,0.005535212791507563,99.99938122693895,83.16572885953072,stable,
50.0,1.0,0.4,1000.0,10.0,10.000000000000005,2673.8629094223425,1673.8629094223425,1.9641794161931735e-07,0.008860222396006083,0.008485546770988383,0.01821355467204861,0.060782520885120754,0.1967760228464287,0.005666880243606402,99.99975135921548,83.17608389506916,stable,
